15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0004,0,0.0004,0,0.0004,0.368,0.0004,1.023,0.0004,2.046,0.0004,4.808,0.0004,8.491,0.0004,13.872,0.0004,33.963,0.0004,58.31,0.0004,96.161
0.0005,0,0.0005,0,0.0005,0.471,0.0005,1.269,0.0005,2.435,0.0005,5.217,0.0005,9.616,0.0005,15.754,0.0005,36.828,0.0005,66.494,0.0005,111.506
0.0006,0,0.0006,0,0.0006,0.573,0.0006,1.534,0.0006,2.762,0.0006,5.729,0.0006,10.741,0.0006,17.391,0.0006,39.385,0.0006,75.701,0.0006,123.782
0.0007,0,0.0007,0,0.0007,0.675,0.0007,1.678,0.0007,2.926,0.0007,6.097,0.0007,11.662,0.0007,19.028,0.0007,44.5,0.0007,80.816,0.0007,132.989
0.0008,0,0.0008,0.246,0.0008,0.757,0.0008,1.78,0.0008,3.069,0.0008,6.649,0.0008,12.583,0.0008,20.971,0.0008,48.081,0.0008,88.489,0.0008,145.06
0.0009,0,0.0009,0.286,0.0009,0.859,0.0009,1.882,0.0009,3.335,0.0009,7.161,0.0009,13.708,0.0009,23.529,0.0009,51.15,0.0009,95.957,0.0009,155.495
0.001,0,0.001,0.307,0.001,0.941,0.001,1.964,0.001,3.478,0.001,7.57,0.001,14.322,0.001,24.961,0.001,55.037,0.001,98.207,0.001,164.701
0.0011,0,0.0011,0.321,0.0011,1.016,0.0011,2.073,0.0011,3.546,0.0011,7.809,0.0011,14.867,0.0011,25.95,0.0011,56.469,0.0011,102.64,0.0011,170.498
0.0012,0,0.0012,0.334,0.0012,1.091,0.0012,2.182,0.0012,3.615,0.0012,8.048,0.0012,15.413,0.0012,26.939,0.0012,57.901,0.0012,107.073,0.0012,176.295
0.0013,0,0.0013,0.348,0.0013,1.166,0.0013,2.291,0.0013,3.683,0.0013,8.286,0.0013,15.959,0.0013,27.928,0.0013,59.333,0.0013,111.506,0.0013,182.092
0.0014,0,0.0014,0.375,0.0014,1.2,0.0014,2.38,0.0014,3.785,0.0014,8.661,0.0014,16.641,0.0014,28.848,0.0014,61.72,0.0014,115.257,0.0014,182.774
0.0015,0,0.0015,0.402,0.0015,1.234,0.0015,2.469,0.0015,3.887,0.0015,9.036,0.0015,17.323,0.0015,29.769,0.0015,64.107,0.0015,119.008,0.0015,183.456
0.0016,0,0.0016,0.43,0.0016,1.269,0.0016,2.557,0.0016,3.99,0.0016,9.412,0.0016,18.005,0.0016,30.69,0.0016,66.494,0.0016,122.759,0.0016,184.138
0.0017,0,0.0017,0.466,0.0017,1.326,0.0017,2.635,0.0017,4.194,0.0017,9.923,0.0017,19.13,0.0017,31.713,0.0017,69.563,0.0017,129.408,,
0.0018,0,0.0018,0.501,0.0018,1.381,0.0018,2.711,0.0018,4.399,0.0018,10.435,0.0018,20.255,0.0018,32.736,0.0018,72.632,0.0018,136.058,,
0.0019,0,0.0019,0.538,0.0019,1.438,0.0019,2.789,0.0019,4.603,0.0019,10.946,0.0019,21.381,0.0019,33.759,0.0019,75.701,0.0019,142.707,,
0.002,0,0.002,0.573,0.002,1.494,0.002,2.864,0.002,4.808,0.002,11.457,0.002,22.506,0.002,34.782,0.002,78.77,0.002,149.357,,
0.0021,0,0.0021,0.604,0.0021,1.528,0.0021,2.946,0.0021,4.921,0.0021,11.764,0.0021,23.12,0.0021,35.856,0.0021,80.898,0.0021,151.147,,
0.0022,0,0.0022,0.634,0.0022,1.563,0.0022,3.028,0.0022,5.033,0.0022,12.071,0.0022,23.733,0.0022,36.93,0.0022,83.026,0.0022,152.937,,
0.0023,0,0.0023,0.665,0.0023,1.598,0.0023,3.11,0.0023,5.146,0.0023,12.378,0.0023,24.347,0.0023,38.004,0.0023,85.154,0.0023,154.727,,
0.0024,0,0.0024,0.696,0.0024,1.633,0.0024,3.192,0.0024,5.258,0.0024,12.685,0.0024,24.961,0.0024,39.078,0.0024,87.282,0.0024,156.518,,
0.0025,0,0.0025,0.726,0.0025,1.667,0.0025,3.274,0.0025,5.371,0.0025,12.992,0.0025,25.575,0.0025,40.152,0.0025,89.409,0.0025,158.308,,
0.0026,0,0.0026,0.757,0.0026,1.702,0.0026,3.355,0.0026,5.483,0.0026,13.299,0.0026,26.189,0.0026,41.227,0.0026,91.537,0.0026,160.098,,
0.0027,0,0.0027,0.788,0.0027,1.737,0.0027,3.437,0.0027,5.596,0.0027,13.606,0.0027,26.802,0.0027,42.301,0.0027,93.665,0.0027,161.888,,
0.0028,0,0.0028,0.818,0.0028,1.772,0.0028,3.519,0.0028,5.708,0.0028,13.913,0.0028,27.416,0.0028,43.375,0.0028,95.793,0.0028,163.679,,
0.0029,0,0.0029,0.849,0.0029,1.807,0.0029,3.601,0.0029,5.821,0.0029,14.22,0.0029,28.03,0.0029,44.449,0.0029,97.921,0.0029,165.469,,
0.003,0,0.003,0.88,0.003,1.841,0.003,3.683,0.003,5.933,0.003,14.526,0.003,28.644,0.003,45.523,0.003,100.048,0.003,167.259,,
0.0031,0,0.0031,0.892,0.0031,1.866,0.0031,3.724,0.0031,6.077,0.0031,14.772,0.0031,29.155,0.0031,46.444,0.0031,101.726,0.0031,170.635,,
0.0032,0,0.0032,0.904,0.0032,1.89,0.0032,3.765,0.0032,6.22,0.0032,15.018,0.0032,29.667,0.0032,47.364,0.0032,103.404,0.0032,174.011,,
0.0033,0,0.0033,0.917,0.0033,1.915,0.0033,3.806,0.0033,6.363,0.0033,15.263,0.0033,30.178,0.0033,48.285,0.0033,105.082,0.0033,177.387,,
0.0034,0,0.0034,0.929,0.0034,1.94,0.0034,3.846,0.0034,6.506,0.0034,15.509,0.0034,30.69,0.0034,49.206,0.0034,106.759,0.0034,180.762,,
0.0035,0,0.0035,0.941,0.0035,1.964,0.0035,3.887,0.0035,6.649,0.0035,15.754,0.0035,31.201,0.0035,50.127,0.0035,108.437,0.0035,184.138,,
0.0036,0,0.0036,0.949,0.0036,2.009,0.0036,3.928,0.0036,6.752,0.0036,15.979,0.0036,31.917,0.0036,51.15,0.0036,110.278,,,,
