15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0004,0,0.0004,0,0.0004,0.345,0.0004,0.957,0.0004,1.914,0.0004,4.498,0.0004,7.943,0.0004,12.977,0.0004,31.772,0.0004,54.548,0.0004,89.956
0.0005,0,0.0005,0,0.0005,0.44,0.0005,1.187,0.0005,2.278,0.0005,4.881,0.0005,8.996,0.0005,14.738,0.0005,34.451,0.0005,62.204,0.0005,104.311
0.0006,0,0.0006,0,0.0006,0.536,0.0006,1.435,0.0006,2.584,0.0006,5.359,0.0006,10.048,0.0006,16.269,0.0006,36.844,0.0006,70.817,0.0006,115.795
0.0007,0,0.0007,0,0.0007,0.632,0.0007,1.569,0.0007,2.737,0.0007,5.704,0.0007,10.91,0.0007,17.8,0.0007,41.629,0.0007,75.602,0.0007,124.408
0.0008,0,0.0008,0.23,0.0008,0.708,0.0008,1.665,0.0008,2.871,0.0008,6.22,0.0008,11.771,0.0008,19.618,0.0008,44.978,0.0008,82.779,0.0008,135.7
0.0009,0,0.0009,0.268,0.0009,0.804,0.0009,1.761,0.0009,3.12,0.0009,6.699,0.0009,12.824,0.0009,22.011,0.0009,47.849,0.0009,89.765,0.0009,145.461
0.001,0,0.001,0.287,0.001,0.88,0.001,1.837,0.001,3.254,0.001,7.082,0.001,13.398,0.001,23.35,0.001,51.486,0.001,91.87,0.001,154.074
0.0011,0,0.0011,0.3,0.0011,0.951,0.0011,1.939,0.0011,3.318,0.0011,7.305,0.0011,13.908,0.0011,24.275,0.0011,52.825,0.0011,96.017,0.0011,159.497
0.0012,0,0.0012,0.313,0.0012,1.021,0.0012,2.042,0.0012,3.381,0.0012,7.528,0.0012,14.419,0.0012,25.201,0.0012,54.165,0.0012,100.164,0.0012,164.92
0.0013,0,0.0013,0.325,0.0013,1.091,0.0013,2.144,0.0013,3.445,0.0013,7.752,0.0013,14.929,0.0013,26.126,0.0013,55.505,0.0013,104.311,0.0013,170.343
0.0014,0,0.0014,0.351,0.0014,1.123,0.0014,2.227,0.0014,3.541,0.0014,8.102,0.0014,15.567,0.0014,26.987,0.0014,57.738,0.0014,107.82,0.0014,170.981
0.0015,0,0.0015,0.376,0.0015,1.155,0.0015,2.31,0.0015,3.637,0.0015,8.453,0.0015,16.205,0.0015,27.848,0.0015,59.971,0.0015,111.329,0.0015,171.619
0.0016,0,0.0016,0.402,0.0016,1.187,0.0016,2.392,0.0016,3.732,0.0016,8.804,0.0016,16.843,0.0016,28.709,0.0016,62.204,0.0016,114.838,0.0016,172.257
0.0017,0,0.0017,0.436,0.0017,1.24,0.0017,2.465,0.0017,3.924,0.0017,9.283,0.0017,17.896,0.0017,29.666,0.0017,65.075,0.0017,121.058,,
0.0018,0,0.0018,0.469,0.0018,1.292,0.0018,2.536,0.0018,4.115,0.0018,9.761,0.0018,18.948,0.0018,30.623,0.0018,67.946,0.0018,127.279,,
0.0019,0,0.0019,0.503,0.0019,1.346,0.0019,2.609,0.0019,4.306,0.0019,10.24,0.0019,20.001,0.0019,31.58,0.0019,70.817,0.0019,133.499,,
0.002,0,0.002,0.536,0.002,1.397,0.002,2.68,0.002,4.498,0.002,10.718,0.002,21.054,0.002,32.537,0.002,73.688,0.002,139.719,,
0.0021,0,0.0021,0.565,0.0021,1.43,0.0021,2.756,0.0021,4.603,0.0021,11.005,0.0021,21.628,0.0021,33.542,0.0021,75.678,0.0021,141.394,,
0.0022,0,0.0022,0.593,0.0022,1.462,0.0022,2.833,0.0022,4.708,0.0022,11.292,0.0022,22.202,0.0022,34.547,0.0022,77.669,0.0022,143.069,,
0.0023,0,0.0023,0.622,0.0023,1.495,0.0023,2.909,0.0023,4.814,0.0023,11.579,0.0023,22.776,0.0023,35.552,0.0023,79.659,0.0023,144.744,,
0.0024,0,0.0024,0.651,0.0024,1.527,0.0024,2.986,0.0024,4.919,0.0024,11.867,0.0024,23.35,0.0024,36.557,0.0024,81.65,0.0024,146.418,,
0.0025,0,0.0025,0.679,0.0025,1.56,0.0025,3.062,0.0025,5.024,0.0025,12.154,0.0025,23.925,0.0025,37.562,0.0025,83.64,0.0025,148.093,,
0.0026,0,0.0026,0.708,0.0026,1.592,0.0026,3.139,0.0026,5.129,0.0026,12.441,0.0026,24.499,0.0026,38.566,0.0026,85.631,0.0026,149.768,,
0.0027,0,0.0027,0.737,0.0027,1.625,0.0027,3.215,0.0027,5.235,0.0027,12.728,0.0027,25.073,0.0027,39.571,0.0027,87.621,0.0027,151.442,,
0.0028,0,0.0028,0.766,0.0028,1.657,0.0028,3.292,0.0028,5.34,0.0028,13.015,0.0028,25.647,0.0028,40.576,0.0028,89.612,0.0028,153.117,,
0.0029,0,0.0029,0.794,0.0029,1.69,0.0029,3.369,0.0029,5.445,0.0029,13.302,0.0029,26.221,0.0029,41.581,0.0029,91.602,0.0029,154.792,,
0.003,0,0.003,0.823,0.003,1.723,0.003,3.445,0.003,5.55,0.003,13.589,0.003,26.795,0.003,42.586,0.003,93.593,0.003,156.467,,
0.0031,0,0.0031,0.834,0.0031,1.746,0.0031,3.483,0.0031,5.684,0.0031,13.819,0.0031,27.274,0.0031,43.447,0.0031,95.162,0.0031,159.625,,
0.0032,0,0.0032,0.846,0.0032,1.769,0.0032,3.522,0.0032,5.818,0.0032,14.048,0.0032,27.752,0.0032,44.308,0.0032,96.732,0.0032,162.783,,
0.0033,0,0.0033,0.857,0.0033,1.791,0.0033,3.56,0.0033,5.952,0.0033,14.278,0.0033,28.231,0.0033,45.17,0.0033,98.301,0.0033,165.941,,
