20mm Poly Pipe,,40mm Poly Pipe,,63mm Poly Pipe,,90mm Poly Pipe,,110mm Poly Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0001,0.164,0.0001,0.9,0.0001,3.376,0.0001,11.253,0.0001,22.301
0.0002,0.194,0.0002,1.207,0.0002,4.297,0.0002,14.322,0.0002,27.007
0.0003,0.225,0.0003,1.514,0.0003,5.217,0.0003,17.391,0.0003,31.713
0.0004,0.256,0.0004,1.821,0.0004,6.138,0.0004,20.46,0.0004,36.418
0.0005,0.286,0.0005,2.046,0.0005,7.059,0.0005,24.552,0.0005,40.101
0.0006,0.317,0.0006,2.435,0.0006,7.775,0.0006,26.598,0.0006,46.035
0.0007,0.348,0.0007,2.721,0.0007,8.593,0.0007,30.69,0.0007,49.104
0.0008,0.379,0.0008,2.864,0.0008,9.207,0.0008,32.94,0.0008,53.4
0.0009,0.409,0.0009,3.069,0.0009,9.821,0.0009,34.986,0.0009,57.287
0.001,0.45,0.001,3.478,0.001,10.23,0.001,36.828,0.001,61.379
0.0011,0.469,0.0011,3.58,0.0011,10.782,0.0011,38.546,0.0011,64.448
0.0012,0.487,0.0012,3.683,0.0012,11.335,0.0012,40.265,0.0012,67.517
0.0013,0.505,0.0013,3.785,0.0013,11.887,0.0013,41.984,0.0013,70.586
0.0014,0.524,0.0014,3.887,0.0014,12.44,0.0014,43.702,0.0014,73.655
0.0015,0.542,0.0015,3.99,0.0015,12.992,0.0015,45.421,0.0015,76.724
0.0016,0.561,0.0016,4.092,0.0016,13.544,0.0016,47.139,0.0016,79.793
0.0017,0.579,0.0017,4.194,0.0017,14.097,0.0017,48.858,0.0017,82.862
0.0018,0.597,0.0018,4.297,0.0018,14.649,0.0018,50.577,0.0018,85.931
0.0019,0.616,0.0019,4.399,0.0019,15.202,0.0019,52.295,0.0019,89
0.002,0.634,0.002,4.501,0.002,15.754,0.002,54.014,0.002,92.069
0.0021,0.653,0.0021,4.614,0.0021,16.102,0.0021,55.262,0.0021,94.524
0.0022,0.671,0.0022,4.726,0.0022,16.45,0.0022,56.51,0.0022,96.98
0.0023,0.689,0.0023,4.839,0.0023,16.798,0.0023,57.758,0.0023,99.435
0.0024,0.708,0.0024,4.951,0.0024,17.145,0.0024,59.006,0.0024,101.89
0.0025,0.726,0.0025,5.064,0.0025,17.493,0.0025,60.254,0.0025,104.345
0.0026,0.745,0.0026,5.176,0.0026,17.841,0.0026,61.502,0.0026,106.8
0.0027,0.763,0.0027,5.289,0.0027,18.189,0.0027,62.75,0.0027,109.255
0.0028,0.782,0.0028,5.401,0.0028,18.537,0.0028,63.998,0.0028,111.711
0.0029,0.8,0.0029,5.514,0.0029,18.884,0.0029,65.246,0.0029,114.166
0.003,0.818,0.003,5.626,0.003,19.232,0.003,66.494,0.003,116.621
0.0031,0.853,0.0031,5.729,0.0031,19.764,0.0031,67.62,0.0031,118.974
0.0032,0.888,0.0032,5.831,0.0032,20.296,0.0032,68.745,0.0032,121.327
0.0033,0.923,0.0033,5.933,0.0033,20.828,0.0033,69.87,0.0033,123.68
0.0034,0.958,0.0034,6.036,0.0034,21.36,0.0034,70.996,0.0034,126.032
0.0035,0.992,0.0035,6.138,0.0035,21.892,0.0035,72.121,0.0035,128.385
0.0036,1.027,0.0036,6.24,0.0036,22.424,0.0036,73.246,0.0036,130.738
0.0037,1.062,0.0037,6.343,0.0037,22.956,0.0037,74.371,0.0037,133.091
0.0038,1.097,0.0038,6.445,0.0038,23.488,0.0038,75.497,0.0038,135.444
0.0039,1.131,0.0039,6.547,0.0039,24.02,0.0039,76.622,0.0039,137.797
0.004,1.166,0.004,6.649,0.004,24.552,0.004,77.747,0.004,140.15
0.0041,1.156,0.0041,6.752,0.0041,24.756,0.0041,78.77,0.0041,141.787
0.0042,1.146,0.0042,6.854,0.0042,24.961,0.0042,79.793,0.0042,143.423
0.0043,1.136,0.0043,6.956,0.0043,25.166,0.0043,80.816,0.0043,145.06
0.0044,1.125,0.0044,7.059,0.0044,25.37,0.0044,81.839,0.0044,146.697
0.0045,1.115,0.0045,7.161,0.0045,25.575,0.0045,82.862,0.0045,148.334
0.0046,1.105,0.0046,7.263,0.0046,25.779,0.0046,83.885,0.0046,149.97
0.0047,1.095,0.0047,7.366,0.0047,25.984,0.0047,84.908,0.0047,151.607
0.0048,1.084,0.0048,7.468,0.0048,26.189,0.0048,85.931,0.0048,153.244
0.0049,1.074,0.0049,7.57,0.0049,26.393,0.0049,86.954,0.0049,154.881
0.005,1.064,0.005,7.672,0.005,26.598,0.005,87.977,0.005,156.518
0.0051,1.078,0.0051,7.734,0.0051,27.007,0.0051,89.205,0.0051,158.257
0.0052,1.093,0.0052,7.795,0.0052,27.416,0.0052,90.432,0.0052,159.996
0.0053,1.107,0.0053,7.857,0.0053,27.825,0.0053,91.66,0.0053,161.735
0.0054,1.121,0.0054,7.918,0.0054,28.235,0.0054,92.888,0.0054,163.474
0.0055,1.136,0.0055,7.979,0.0055,28.644,0.0055,94.115,0.0055,165.213
0.0056,1.15,0.0056,8.041,0.0056,29.053,0.0056,95.343,0.0056,166.952
0.0057,1.164,0.0057,8.102,0.0057,29.462,0.0057,96.57,0.0057,168.691
0.0058,1.178,0.0058,8.163,0.0058,29.871,0.0058,97.798,0.0058,170.43
0.0059,1.193,0.0059,8.225,0.0059,30.281,0.0059,99.025,0.0059,172.169
0.006,1.207,0.006,8.286,0.006,30.69,0.006,100.253,0.006,173.908
0.0061,1.215,0.0061,8.358,0.0061,30.894,0.0061,100.867,,
0.0062,1.223,0.0062,8.429,0.0062,31.099,0.0062,101.481,,
0.0063,1.232,0.0063,8.501,0.0063,31.304,0.0063,102.094,,
0.0064,1.24,0.0064,8.573,0.0064,31.508,0.0064,102.708,,
0.0065,1.248,0.0065,8.644,0.0065,31.713,0.0065,103.322,,
0.0066,1.256,0.0066,8.716,0.0066,31.917,0.0066,103.936,,
0.0067,1.264,0.0067,8.787,0.0067,32.122,0.0067,104.55,,
0.0068,1.273,0.0068,8.859,0.0068,32.327,0.0068,105.163,,
0.0069,1.281,0.0069,8.931,0.0069,32.531,0.0069,105.777,,
0.007,1.289,0.007,9.002,0.007,32.736,0.007,106.391,,
0.0071,1.301,0.0071,9.084,0.0071,33.043,0.0071,107.414,,
0.0072,1.314,0.0072,9.166,0.0072,33.349,0.0072,108.437,,
0.0073,1.326,0.0073,9.248,0.0073,33.656,0.0073,109.46,,
0.0074,1.338,0.0074,9.33,0.0074,33.963,0.0074,110.483,,
0.0075,1.35,0.0075,9.412,0.0075,34.27,0.0075,111.506,,
0.0076,1.363,0.0076,9.493,0.0076,34.577,0.0076,112.529,,
0.0077,1.375,0.0077,9.575,0.0077,34.884,0.0077,113.552,,
0.0078,1.387,0.0078,9.657,0.0078,35.191,0.0078,114.575,,
0.0079,1.399,0.0079,9.739,0.0079,35.498,0.0079,115.598,,
0.008,1.412,0.008,9.821,0.008,35.805,0.008,116.621,,
0.0081,1.42,0.0081,9.862,0.0081,36.009,0.0081,117.235,,
0.0082,1.428,0.0082,9.903,0.0082,36.214,0.0082,117.849,,
0.0083,1.436,0.0083,9.943,0.0083,36.418,0.0083,118.462,,
