20mm Poly Pipe,,40mm Poly Pipe,,63mm Poly Pipe,,90mm Poly Pipe,,110mm Poly Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0001,0.153,0.0001,0.842,0.0001,3.158,0.0001,10.527,0.0001,20.862
0.0002,0.182,0.0002,1.129,0.0002,4.019,0.0002,13.398,0.0002,25.264
0.0003,0.211,0.0003,1.416,0.0003,4.881,0.0003,16.269,0.0003,29.666
0.0004,0.239,0.0004,1.703,0.0004,5.742,0.0004,19.14,0.0004,34.069
0.0005,0.268,0.0005,1.914,0.0005,6.603,0.0005,22.968,0.0005,37.514
0.0006,0.297,0.0006,2.278,0.0006,7.273,0.0006,24.882,0.0006,43.064
0.0007,0.325,0.0007,2.546,0.0007,8.039,0.0007,28.709,0.0007,45.935
0.0008,0.354,0.0008,2.68,0.0008,8.613,0.0008,30.815,0.0008,49.954
0.0009,0.383,0.0009,2.871,0.0009,9.187,0.0009,32.729,0.0009,53.591
0.001,0.421,0.001,3.254,0.001,9.57,0.001,34.451,0.001,57.419
0.0011,0.438,0.0011,3.349,0.0011,10.087,0.0011,36.059,0.0011,60.29
0.0012,0.456,0.0012,3.445,0.0012,10.603,0.0012,37.667,0.0012,63.161
0.0013,0.473,0.0013,3.541,0.0013,11.12,0.0013,39.275,0.0013,66.032
0.0014,0.49,0.0014,3.637,0.0014,11.637,0.0014,40.882,0.0014,68.903
0.0015,0.507,0.0015,3.732,0.0015,12.154,0.0015,42.49,0.0015,71.774
0.0016,0.524,0.0016,3.828,0.0016,12.67,0.0016,44.098,0.0016,74.645
0.0017,0.542,0.0017,3.924,0.0017,13.187,0.0017,45.705,0.0017,77.516
0.0018,0.559,0.0018,4.019,0.0018,13.704,0.0018,47.313,0.0018,80.386
0.0019,0.576,0.0019,4.115,0.0019,14.221,0.0019,48.921,0.0019,83.257
0.002,0.593,0.002,4.211,0.002,14.738,0.002,50.529,0.002,86.128
0.0021,0.611,0.0021,4.316,0.0021,15.063,0.0021,51.696,0.0021,88.425
0.0022,0.628,0.0022,4.421,0.0022,15.388,0.0022,52.864,0.0022,90.722
0.0023,0.645,0.0023,4.527,0.0023,15.714,0.0023,54.031,0.0023,93.019
0.0024,0.662,0.0024,4.632,0.0024,16.039,0.0024,55.199,0.0024,95.315
0.0025,0.679,0.0025,4.737,0.0025,16.364,0.0025,56.366,0.0025,97.612
0.0026,0.697,0.0026,4.842,0.0026,16.69,0.0026,57.534,0.0026,99.909
0.0027,0.714,0.0027,4.948,0.0027,17.015,0.0027,58.701,0.0027,102.206
0.0028,0.731,0.0028,5.053,0.0028,17.341,0.0028,59.869,0.0028,104.502
0.0029,0.748,0.0029,5.158,0.0029,17.666,0.0029,61.036,0.0029,106.799
0.003,0.766,0.003,5.263,0.003,17.991,0.003,62.204,0.003,109.096
0.0031,0.798,0.0031,5.359,0.0031,18.489,0.0031,63.257,0.0031,111.297
0.0032,0.831,0.0032,5.455,0.0032,18.987,0.0032,64.309,0.0032,113.498
0.0033,0.863,0.0033,5.55,0.0033,19.484,0.0033,65.362,0.0033,115.699
0.0034,0.896,0.0034,5.646,0.0034,19.982,0.0034,66.415,0.0034,117.9
0.0035,0.928,0.0035,5.742,0.0035,20.479,0.0035,67.467,0.0035,120.101
0.0036,0.961,0.0036,5.838,0.0036,20.977,0.0036,68.52,0.0036,122.302
0.0037,0.993,0.0037,5.933,0.0037,21.475,0.0037,69.573,0.0037,124.503
0.0038,1.026,0.0038,6.029,0.0038,21.972,0.0038,70.625,0.0038,126.704
0.0039,1.058,0.0039,6.125,0.0039,22.47,0.0039,71.678,0.0039,128.905
0.004,1.091,0.004,6.22,0.004,22.968,0.004,72.731,0.004,131.107
0.0041,1.081,0.0041,6.316,0.0041,23.159,0.0041,73.688,0.0041,132.638
0.0042,1.072,0.0042,6.412,0.0042,23.35,0.0042,74.645,0.0042,134.169
0.0043,1.062,0.0043,6.507,0.0043,23.542,0.0043,75.602,0.0043,135.7
0.0044,1.053,0.0044,6.603,0.0044,23.733,0.0044,76.559,0.0044,137.231
0.0045,1.043,0.0045,6.699,0.0045,23.925,0.0045,77.516,0.0045,138.762
0.0046,1.034,0.0046,6.795,0.0046,24.116,0.0046,78.473,0.0046,140.294
