6mm Copper Pipe,,8mm Copper Pipe,,10mm Copper Pipe,,15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0002,0,0.0002,0,0.0002,0,0.0002,0.02,0.0002,0.102,0.0002,0.348,0.0002,0.921,0.0002,1.821,0.0002,4.092,0.0002,7.672,0.0002,12.276,0.0002,29.667
0.0003,0,0.0003,0,0.0003,0,0.0003,0.027,0.0003,0.123,0.0003,0.409,0.0003,1.125,0.0003,2.046,0.0003,4.89,0.0003,8.593,0.0003,14.322,0.0003,32.736
0.0004,0,0.0004,0,0.0004,0,0.0004,0.035,0.0004,0.164,0.0004,0.552,0.0004,1.432,0.0004,2.537,0.0004,5.626,0.0004,10.23,0.0004,16.368,0.0004,37.953
0.0005,0,0.0005,0,0.0005,0,0.0005,0.045,0.0005,0.225,0.0005,0.696,0.0005,1.637,0.0005,2.967,0.0005,6.138,0.0005,11.662,0.0005,18.618,0.0005,42.659
0.0006,0,0.0006,0,0.0006,0,0.0006,0.051,0.0006,0.266,0.0006,0.818,0.0006,1.8,0.0006,3.212,0.0006,7.059,0.0006,13.135,0.0006,20.664,0.0006,48.081
0.0007,0,0.0007,0,0.0007,0,0.0007,0.061,0.0007,0.327,0.0007,0.982,0.0007,2.005,0.0007,3.621,0.0007,7.672,0.0007,14.322,0.0007,24.552,0.0007,53.196
0.0008,0,0.0008,0,0.0008,0,0.0008,0.07,0.0008,0.368,0.0008,1.105,0.0008,2.148,0.0008,3.785,0.0008,8.184,0.0008,15.345,0.0008,26.086,0.0008,57.287
0.0009,0,0.0009,0,0.0009,0,0.0009,0.078,0.0009,0.389,0.0009,1.166,0.0009,2.271,0.0009,3.908,0.0009,8.593,0.0009,16.368,0.0009,28.337,0.0009,59.436
0.001,0,0.001,0,0.001,0,0.001,0.084,0.001,0.45,0.001,1.248,0.001,2.476,0.001,4.092,0.001,9.309,0.001,17.289,0.001,29.667,0.001,62.402
0.0011,0,0.0011,0,0.0011,0,0.0011,0.089,0.0011,0.491,0.0011,1.302,0.0011,2.606,0.0011,4.284,0.0011,9.711,0.0011,18.196,0.0011,30.728,0.0011,65.024
0.0012,0,0.0012,0,0.0012,0,0.0012,0.095,0.0012,0.532,0.0012,1.355,0.0012,2.736,0.0012,4.476,0.0012,10.112,0.0012,19.104,0.0012,31.789,0.0012,67.645
