6mm Copper Pipe,,8mm Copper Pipe,,10mm Copper Pipe,,15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0002,0,0.0002,0,0.0002,0,0.0002,0.019,0.0002,0.096,0.0002,0.325,0.0002,0.861,0.0002,1.703,0.0002,3.828,0.0002,7.177,0.0002,11.484,0.0002,27.752
0.0003,0,0.0003,0,0.0003,0,0.0003,0.025,0.0003,0.115,0.0003,0.383,0.0003,1.053,0.0003,1.914,0.0003,4.574,0.0003,8.039,0.0003,13.398,0.0003,30.623
0.0004,0,0.0004,0,0.0004,0,0.0004,0.033,0.0004,0.153,0.0004,0.517,0.0004,1.34,0.0004,2.373,0.0004,5.263,0.0004,9.57,0.0004,15.312,0.0004,35.504
0.0005,0,0.0005,0,0.0005,0,0.0005,0.042,0.0005,0.211,0.0005,0.651,0.0005,1.531,0.0005,2.775,0.0005,5.742,0.0005,10.91,0.0005,17.417,0.0005,39.906
0.0006,0,0.0006,0,0.0006,0,0.0006,0.048,0.0006,0.249,0.0006,0.766,0.0006,1.684,0.0006,3.005,0.0006,6.603,0.0006,12.288,0.0006,19.331,0.0006,44.978
0.0007,0,0.0007,0,0.0007,0,0.0007,0.057,0.0007,0.306,0.0007,0.919,0.0007,1.876,0.0007,3.388,0.0007,7.177,0.0007,13.398,0.0007,22.968,0.0007,49.763
0.0008,0,0.0008,0,0.0008,0,0.0008,0.065,0.0008,0.345,0.0008,1.034,0.0008,2.01,0.0008,3.541,0.0008,7.656,0.0008,14.355,0.0008,24.403,0.0008,53.591
0.0009,0,0.0009,0,0.0009,0,0.0009,0.073,0.0009,0.364,0.0009,1.091,0.0009,2.125,0.0009,3.656,0.0009,8.039,0.0009,15.312,0.0009,26.508,0.0009,55.601
0.001,0,0.001,0,0.001,0,0.001,0.078,0.001,0.421,0.001,1.168,0.001,2.316,0.001,3.828,0.001,8.709,0.001,16.173,0.001,27.752,0.001,58.376
0.0011,0,0.0011,0,0.0011,0,0.0011,0.083,0.0011,0.459,0.0011,1.218,0.0011,2.438,0.0011,4.007,0.0011,9.084,0.0011,17.022,0.0011,28.745,0.0011,60.828
0.0012,0,0.0012,0,0.0012,0,0.0012,0.089,0.0012,0.498,0.0012,1.268,0.0012,2.56,0.0012,4.187,0.0012,9.46,0.0012,17.872,0.0012,29.738,0.0012,63.28
0.0013,0,0.0013,0,0.0013,0,0.0013,0.094,0.0013,0.536,0.0013,1.318,0.0013,2.682,0.0013,4.366,0.0013,9.835,0.0013,18.721,0.0013,30.731,0.0013,65.733
0.0014,0,0.0014,0,0.0014,0,0.0014,0.099,0.0014,0.574,0.0014,1.368,0.0014,2.804,0.0014,4.546,0.0014,10.211,0.0014,19.57,0.0014,31.724,0.0014,68.185
0.0015,0,0.0015,0,0.0015,0,0.0015,0.104,0.0015,0.612,0.0015,1.419,0.0015,2.926,0.0015,4.725,0.0015,10.587,0.0015,20.42,0.0015,32.717,0.0015,70.637
0.0016,0,0.0016,0,0.0016,0,0.0016,0.109,0.0016,0.651,0.0016,1.47,0.0016,3.049,0.0016,4.905,0.0016,10.963,0.0016,21.27,0.0016,33.711,0.0016,73.09
