15mm Steel Pipe,,22mm Steel Pipe,,28mm Steel Pipe,,35mm Steel Pipe,,42mm Steel Pipe,,54mm Steel Pipe,,76.1mm Steel Pipe,,80mm Steel Pipe,,100mm Steel Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0001,0.082,0.0001,,0.0001,,0.0001,,0.0001,,0.0001,,0.0001,,0.0001,,0.0001,
0.0002,0.082,0.0002,0.246,0.0002,0.573,0.0002,1.78,0.0002,2.864,0.0002,5.115,0.0002,10.128,0.0002,15.345,0.0002,34.782
0.0003,0.102,0.0003,0.348,0.0003,0.859,0.0003,2.353,0.0003,3.478,0.0003,6.24,0.0003,12.276,0.0003,18.823,0.0003,37.851
0.0004,0.137,0.0004,0.471,0.0004,1.146,0.0004,2.762,0.0004,3.887,0.0004,7.366,0.0004,14.526,0.0004,23.529,0.0004,45.012
0.0005,0.17,0.0005,0.573,0.0005,1.371,0.0005,3.069,0.0005,4.501,0.0005,8.184,0.0005,16.368,0.0005,26.598,0.0005,51.15
0.0006,0.205,0.0006,0.675,0.0006,1.555,0.0006,3.478,0.0006,5.013,0.0006,9.105,0.0006,17.902,0.0006,29.155,0.0006,56.264
0.0007,0.246,0.0007,0.777,0.0007,1.678,0.0007,3.683,0.0007,5.32,0.0007,9.923,0.0007,19.641,0.0007,31.713,0.0007,59.333
0.0008,0.286,0.0008,0.88,0.0008,1.8,0.0008,3.887,0.0008,5.729,0.0008,10.537,0.0008,21.074,0.0008,32.736,0.0008,65.062
0.0009,0.327,0.0009,1.003,0.0009,1.882,0.0009,4.031,0.0009,6.056,0.0009,11.253,0.0009,22.506,0.0009,35.805,0.0009,69.154
0.001,0.368,0.001,1.105,0.001,2.046,0.001,4.399,0.001,6.547,0.001,11.969,0.001,24.552,0.001,37.851,0.001,75.701
0.0011,0.399,0.0011,1.152,0.0011,2.169,0.0011,4.573,0.0011,6.834,0.0011,12.501,0.0011,25.779,0.0011,39.59,0.0011,78.515
