15mm Steel Pipe,,22mm Steel Pipe,,28mm Steel Pipe,,35mm Steel Pipe,,42mm Steel Pipe,,54mm Steel Pipe,,76.1mm Steel Pipe,,88.9mm Steel Pipe,,108mm Steel Pipe,
kPa/m,MJH,kPa/m,MJH,kPa/m,MJH,kPa/m,MJH,kPa/m,MJH,kPa/m,MJH,kPa/m,MJH,kPa/m,MJH,kPa/m,MJH
0.0001,0.9,0.0001,4.65,0.0001,13.5,0.0001,33,0.0001,72.9,0.0001,200,0.0001,420,0.0001,609,0.0001,1065
0.0002,1.8,0.0002,9.3,0.0002,27.1,0.0002,66.1,0.0002,146,0.0002,262,0.0002,582,0.0002,912,0.0002,1589
0.0003,2.7,0.0003,13.9,0.0003,40.6,0.0003,99.1,0.0003,173,0.0003,303,0.0003,737,0.0003,1153,0.0003,2005
0.0004,3.6,0.0004,18.6,0.0004,54.1,0.0004,125,0.0004,192,0.0004,336,0.0004,870,0.0004,1360,0.0004,2364
0.0005,4.5,0.0005,23.2,0.0005,67.6,0.0005,137,0.0005,209,0.0005,383,0.0005,990,0.0005,1546,0.0005,2684
0.0006,5.4,0.0006,27.9,0.0006,81.2,0.0006,147,0.0006,223,0.0006,426,0.0006,1099,0.0006,1716,0.0006,2978
0.0007,6.3,0.0007,32.5,0.0007,94.7,0.0007,156,0.0007,235,0.0007,466,0.0007,1201,0.0007,1874,0.0007,3250
0.0008,7.2,0.0008,37.2,0.0008,101,0.0008,164,0.0008,246,0.0008,503,0.0008,1297,0.0008,2022,0.0008,3506
0.0009,8.1,0.0009,41.8,0.0009,106,0.0009,171,0.0009,258,0.0009,539,0.0009,1387,0.0009,2163,0.0009,3747
0.001,9,0.001,46.5,0.001,111,0.001,177,0.001,274,0.001,573,0.001,1473,0.001,2296,0.001,3977
0.0011,9.9,0.0011,51.1,0.0011,115,0.0011,183,0.0011,290,0.0011,605,0.0011,1555,0.0011,2424,0.0011,4197
0.0012,10.8,0.0012,55.8,0.0012,119,0.0012,189,0.0012,305,0.0012,636,0.0012,1634,0.0012,2546,0.0012,4409
0.0013,11.7,0.0013,60.4,0.0013,122,0.0013,194,0.0013,319,0.0013,666,0.0013,1711,0.0013,2665,0.0013,4612
0.0014,12.6,0.0014,65.1,0.0014,126,0.0014,199,0.0014,333,0.0014,695,0.0014,1784,0.0014,2779,0.0014,4809
0.0015,13.5,0.0015,69.7,0.0015,129,0.0015,204,0.0015,347,0.0015,723,0.0015,1856,0.0015,2890,0.0015,4999
