15mm Steel Pipe,,22mm Steel Pipe,,28mm Steel Pipe,,35mm Steel Pipe,,42mm Steel Pipe,,54mm Steel Pipe,,76.1mm Steel Pipe,,88.9mm Steel Pipe,,108mm Steel Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0001,0.012,0.0001,0.064,0.0001,0.186,0.0001,0.454,0.0001,1,0.0001,2.93,0.0001,8.79,0.0001,12.4,0.0001,19.3
0.0002,0.025,0.0002,0.128,0.0002,0.372,0.0002,0.908,0.0002,2,0.0002,5.41,0.0002,11.3,0.0002,16.5,0.0002,28.9
0.0003,0.037,0.0003,0.192,0.0003,0.558,0.0003,1.36,0.0003,3.01,0.0003,6.36,0.0003,13.4,0.0003,20.9,0.0003,36.5
0.0004,0.049,0.0004,0.256,0.0004,0.744,0.0004,1.82,0.0004,3.94,0.0004,7.07,0.0004,15.8,0.0004,24.7,0.0004,43.1
0.0005,0.062,0.0005,0.32,0.0005,0.93,0.0005,2.27,0.0005,4.33,0.0005,7.65,0.0005,18,0.0005,28.2,0.0005,49
0.0006,0.074,0.0006,0.384,0.0006,1.12,0.0006,2.72,0.0006,4.66,0.0006,8.16,0.0006,20,0.0006,31.3,0.0006,54.4
0.0007,0.087,0.0007,0.447,0.0007,1.3,0.0007,3.18,0.0007,4.94,0.0007,8.6,0.0007,21.9,0.0007,34.2,0.0007,59.4
0.0008,0.099,0.0008,0.511,0.0008,1.49,0.0008,3.38,0.0008,5.19,0.0008,9.12,0.0008,23.6,0.0008,36.9,0.0008,64.1
0.0009,0.111,0.0009,0.575,0.0009,1.67,0.0009,3.55,0.0009,5.41,0.0009,9.77,0.0009,25.3,0.0009,39.5,0.0009,68.6
0.001,0.124,0.001,0.639,0.001,1.86,0.001,3.7,0.001,5.62,0.001,10.4,0.001,26.9,0.001,41.9,0.001,72.8
0.0011,0.136,0.0011,0.703,0.0011,2.05,0.0011,3.84,0.0011,5.82,0.0011,11,0.0011,28.4,0.0011,44.3,0.0011,76.9
0.0012,0.148,0.0012,0.767,0.0012,2.23,0.0012,3.97,0.0012,6,0.0012,11.6,0.0012,29.8,0.0012,46.6,0.0012,80.8
0.0013,0.161,0.0013,0.831,0.0013,2.42,0.0013,4.09,0.0013,6.17,0.0013,12.1,0.0013,31.2,0.0013,48.7,0.0013,84.5
0.0014,0.173,0.0014,0.895,0.0014,2.58,0.0014,4.2,0.0014,6.33,0.0014,12.6,0.0014,32.6,0.0014,50.8,0.0014,88.2
0.0015,0.186,0.0015,0.959,0.0015,2.65,0.0015,4.31,0.0015,6.48,0.0015,13.2,0.0015,33.9,0.0015,52.9,0.0015,91.7
0.0016,0.198,0.0016,1.02,0.0016,2.73,0.0016,4.41,0.0016,6.62,0.0016,13.7,0.0016,35.2,0.0016,54.9,0.0016,95.1
0.0017,0.21,0.0017,1.09,0.0017,2.8,0.0017,4.51,0.0017,6.76,0.0017,14.1,0.0017,36.4,0.0017,56.8,0.0017,98.4
0.0018,0.223,0.0018,1.15,0.0018,2.86,0.0018,4.6,0.0018,6.99,0.0018,14.6,0.0018,37.6,0.0018,58.7,0.0018,102
0.0019,0.235,0.0019,1.21,0.0019,2.93,0.0019,4.69,0.0019,7.22,0.0019,15.1,0.0019,38.8,0.0019,60.5,0.0019,105
0.002,0.247,0.002,1.28,0.002,2.99,0.002,4.78,0.002,7.44,0.002,15.5,0.002,40,0.002,62.3,0.002,108
0.0021,0.26,0.0021,1.34,0.0021,3.04,0.0021,4.86,0.0021,7.65,0.0021,16,0.0021,41.1,0.0021,64,0.0021,111
0.0022,0.272,0.0022,1.41,0.0022,3.1,0.0022,4.94,0.0022,7.86,0.0022,16.4,0.0022,42.2,0.0022,65.7,0.0022,114
0.0023,0.285,0.0023,1.47,0.0023,3.15,0.0023,5.02,0.0023,8.07,0.0023,16.8,0.0023,43.3,0.0023,67.4,0.0023,117
0.0024,0.297,0.0024,1.53,0.0024,3.2,0.0024,5.09,0.0024,8.27,0.0024,17.3,0.0024,44.3,0.0024,69.1,0.0024,120
0.0025,0.309,0.0025,1.6,0.0025,3.25,0.0025,5.16,0.0025,8.47,0.0025,17.7,0.0025,45.4,0.0025,70.7,0.0025,122
0.0026,0.322,0.0026,1.66,0.0026,3.3,0.0026,5.23,0.0026,8.66,0.0026,18.1,0.0026,46.4,0.0026,72.3,0.0026,125
0.0027,0.334,0.0027,1.73,0.0027,3.35,0.0027,5.3,0.0027,8.85,0.0027,18.5,0.0027,47.4,0.0027,73.8,0.0027,128
0.0028,0.346,0.0028,1.79,0.0028,3.39,0.0028,5.37,0.0028,9.04,0.0028,18.9,0.0028,48.4,0.0028,75.4,0.0028,130
0.0029,0.359,0.0029,1.85,0.0029,3.43,0.0029,5.43,0.0029,9.23,0.0029,19.2,0.0029,49.4,0.0029,76.9,0.0029,133
0.003,0.371,0.003,1.92,0.003,3.48,0.003,5.5,0.003,9.41,0.003,19.6,0.003,50.3,0.003,78.4,0.003,136
0.0031,0.383,0.0031,1.97,0.0031,3.52,0.0031,5.57,0.0031,9.59,0.0031,20,0.0031,51.3,0.0031,79.8,0.0031,138
0.0032,0.396,0.0032,1.99,0.0032,3.56,0.0032,5.67,0.0032,9.77,0.0032,20.4,0.0032,52.2,0.0032,81.3,0.0032,141
0.0033,0.408,0.0033,2.02,0.0033,3.6,0.0033,5.77,0.0033,9.95,0.0033,20.7,0.0033,53.1,0.0033,82.7,0.0033,143
0.0034,0.421,0.0034,2.05,0.0034,3.64,0.0034,5.87,0.0034,10.1,0.0034,21.1,0.0034,54,0.0034,84.1,0.0034,145
0.0035,0.433,0.0035,2.07,0.0035,3.67,0.0035,5.97,0.0035,10.3,0.0035,21.4,0.0035,54.9,0.0035,85.5,0.0035,148
0.0036,0.445,0.0036,2.1,0.0036,3.71,0.0036,6.07,0.0036,10.5,0.0036,21.8,0.0036,55.8,0.0036,86.9,0.0036,150
0.0037,0.458,0.0037,2.12,0.0037,3.75,0.0037,6.17,0.0037,10.6,0.0037,22.1,0.0037,56.7,0.0037,88.2,0.0037,153
0.0038,0.47,0.0038,2.14,0.0038,3.78,0.0038,6.27,0.0038,10.8,0.0038,22.5,0.0038,57.6,0.0038,89.6,0.0038,155
0.0039,0.482,0.0039,2.17,0.0039,3.82,0.0039,6.36,0.0039,11,0.0039,22.8,0.0039,58.4,0.0039,90.9,0.0039,157
0.004,0.495,0.004,2.19,0.004,3.85,0.004,6.46,0.004,11.1,0.004,23.1,0.004,59.3,0.004,92.2,0.004,159
0.0041,0.507,0.0041,2.21,0.0041,3.88,0.0041,6.55,0.0041,11.3,0.0041,23.5,0.0041,60.1,0.0041,93.5,0.0041,162
0.0042,0.52,0.0042,2.23,0.0042,3.92,0.0042,6.64,0.0042,11.4,0.0042,23.8,0.0042,60.9,0.0042,94.8,0.0042,164
